period_days,wideband_delta_chi2,narrowband_delta_chi2
1.146500000000000057e+02,9.414760925733254737e+00,1.856825052793068531e+00
1.147000000000000028e+02,9.648643347926336489e+00,1.900533167816830016e+00
1.147500000000000000e+02,9.891822277009911346e+00,1.944855582711505937e+00
1.147999999999999972e+02,1.014422351478127915e+01,1.989791809440138115e+00
1.148499999999999943e+02,1.040575875300887709e+01,2.035340123322933348e+00
1.149000000000000057e+02,1.067632629694747237e+01,2.081497452071568777e+00
1.149500000000000028e+02,1.095581171848424518e+01,2.128259270497294686e+00
1.150000000000000000e+02,1.124408843546732406e+01,2.175619501743601081e+00
1.150499999999999972e+02,1.154101821541488704e+01,2.223570425871563838e+00
1.150999999999999943e+02,1.184645160328008373e+01,2.272102596607105340e+00
1.151500000000000057e+02,1.216022827425481623e+01,2.321204767040028649e+00
1.152000000000000028e+02,1.248217731373706663e+01,2.370863825042929918e+00
1.152500000000000000e+02,1.281211742756846128e+01,2.421064739153616863e+00
1.152999999999999972e+02,1.314985708647859042e+01,2.471790515632638296e+00
1.153499999999999943e+02,1.349519460936888571e+01,2.523022167368608848e+00
1.154000000000000057e+02,1.384791819063524976e+01,2.574738695253408594e+00
1.154500000000000028e+02,1.420780587718579646e+01,2.626917082587836738e+00
1.155000000000000000e+02,1.457462550117013400e+01,2.679532303002354343e+00
1.155499999999999972e+02,1.494813457470770857e+01,2.732557342286484392e+00
1.155999999999999943e+02,1.532808015310669347e+01,2.785963234414031042e+00
1.156500000000000057e+02,1.571419867320202357e+01,2.839719111928768580e+00
1.157000000000000028e+02,1.610621577353399658e+01,2.893792270716223136e+00
1.157500000000000000e+02,1.650384610313613365e+01,2.948148249033200052e+00
1.157999999999999972e+02,1.690679312571558413e+01,3.002750920497734732e+00
1.158499999999999943e+02,1.731474892599927529e+01,3.057562600563147548e+00
1.159000000000000057e+02,1.772739402499013650e+01,3.112544165807805907e+00
1.159500000000000028e+02,1.814439721082359114e+01,3.167655185174904631e+00
1.160000000000000000e+02,1.856541539185986522e+01,3.222854062097537664e+00
1.160499999999999972e+02,1.899009347857118257e+01,3.278098186240821832e+00
1.160999999999999943e+02,1.941806430070023382e+01,3.333344093399442709e+00
1.161500000000000057e+02,1.984894856607458635e+01,3.388547631900943102e+00
1.162000000000000028e+02,2.028235486735385606e+01,3.443664133692923013e+00
1.162500000000000000e+02,2.071787974287186529e+01,3.498648588137934556e+00
1.162999999999999972e+02,2.115510779759305748e+01,3.553455816408712220e+00
1.163499999999999943e+02,2.159361189005431925e+01,3.608040644273613040e+00
1.164000000000000057e+02,2.203295339097585526e+01,3.662358070988694259e+00
1.164500000000000028e+02,2.247268251901399694e+01,3.716363431978077170e+00
1.165000000000000000e+02,2.291233875888172378e+01,3.770012552982486387e+00
1.165499999999999972e+02,2.335145136676704425e+01,3.823261893398336664e+00
1.165999999999999943e+02,2.378953996763729961e+01,3.876068676608899199e+00
1.166500000000000057e+02,2.422611524861703103e+01,3.928391005233482947e+00
1.167000000000000028e+02,2.466067975215811003e+01,3.980187959381886298e+00
1.167500000000000000e+02,2.509272877217973630e+01,4.031419676204942348e+00
1.167999999999999972e+02,2.552175135573315856e+01,4.082047409269102367e+00
1.168499999999999943e+02,2.594723141203525074e+01,4.132033566556945203e+00
1.169000000000000057e+02,2.636864892990738696e+01,4.181341726196195374e+00
1.169500000000000028e+02,2.678548130374878866e+01,4.229936629347195165e+00
1.170000000000000000e+02,2.719720476716537405e+01,4.277784150026655574e+00
1.170499999999999972e+02,2.760329593225304734e+01,4.324851242006205077e+00
1.170999999999999943e+02,2.800323343131178788e+01,4.371105863297137795e+00
1.171500000000000057e+02,2.839649965644460750e+01,4.416516879107098781e+00
1.172000000000000028e+02,2.878258259106068806e+01,4.461053944529328241e+00
1.172500000000000000e+02,2.916097772580395642e+01,4.504687368589702423e+00
1.172999999999999972e+02,2.953119004982627516e+01,4.547387961633306830e+00
1.173499999999999943e+02,2.989273610669487624e+01,4.589126868370335011e+00
1.174000000000000057e+02,3.024514610253645941e+01,4.629875389214236137e+00
1.174500000000000028e+02,3.058796605233923671e+01,4.669604792840406304e+00
1.175000000000000000e+02,3.092075994866643640e+01,4.708286123152482183e+00
1.175499999999999972e+02,3.124311193542933296e+01,4.745890004072442991e+00
1.175999999999999943e+02,3.155462846785373188e+01,4.782386445763768812e+00
1.176500000000000057e+02,3.185494043840147071e+01,4.817744656051357488e+00
1.177000000000000028e+02,3.214370524720992961e+01,4.851932860909529133e+00
1.177500000000000000e+02,3.242060879464530387e+01,4.884918137957867224e+00
1.177999999999999972e+02,3.268536737286393645e+01,4.916666266919113681e+00
1.178499999999999943e+02,3.293772943288722388e+01,4.947141600958181229e+00
1.179000000000000057e+02,3.317747720366001118e+01,4.976306962730245864e+00
1.179500000000000028e+02,3.340442813991293747e+01,5.004123568817350431e+00
1.180000000000000000e+02,3.361843617641134330e+01,5.030550986021371074e+00
1.180499999999999972e+02,3.381939276737305988e+01,5.055547122706187224e+00
1.180999999999999943e+02,3.400722769147822078e+01,5.079068258038891948e+00
1.181500000000000057e+02,3.418190960498088771e+01,5.101069111570634362e+00
1.182000000000000028e+02,3.434344632793860796e+01,5.121502955115405875e+00
1.182500000000000000e+02,3.449188485149696248e+01,5.140321768336592712e+00
1.182999999999999972e+02,3.462731105744324367e+01,5.157476438834038390e+00
1.183499999999999943e+02,3.474984914482607223e+01,5.172917006846351029e+00
1.184000000000000057e+02,3.485966076228382349e+01,5.186592953943163664e+00
1.184500000000000028e+02,3.495694384872640370e+01,5.198453534301849643e+00
1.185000000000000000e+02,3.504193118911748428e+01,5.208448146337333107e+00
1.185499999999999972e+02,3.511488869620820452e+01,5.216526741610032047e+00
1.185999999999999943e+02,3.517611343308266925e+01,5.222640267085681742e+00
1.186500000000000057e+02,3.522593139520706984e+01,5.226741135981137987e+00
1.187000000000000028e+02,3.526469507422513772e+01,5.228783721624498781e+00
1.187500000000000000e+02,3.529278082894930435e+01,5.228724868009863691e+00
1.187999999999999972e+02,3.531058609175213547e+01,5.226524410059234071e+00
1.188499999999999943e+02,3.531852644084012383e+01,5.222145696038517748e+00
1.189000000000000057e+02,3.531703257060385681e+01,5.215556104141333194e+00
1.189500000000000028e+02,3.530654719337729830e+01,5.206727544963748677e+00
1.190000000000000000e+02,3.528752190647069398e+01,5.195636941474470305e+00
1.190499999999999972e+02,3.526041405826606479e+01,5.182266678148344852e+00
1.190999999999999943e+02,3.522568364649919204e+01,5.166605011176598872e+00
1.191500000000000057e+02,3.518379028062222602e+01,5.148646432121883443e+00
1.192000000000000028e+02,3.513519023839823063e+01,5.128391978017958763e+00
1.192500000000000000e+02,3.508033364466442805e+01,5.105849481736566275e+00
1.192999999999999972e+02,3.501966179760503195e+01,5.081033757430743591e+00
1.193499999999999943e+02,3.495360466494224738e+01,5.053966716991395103e+00
1.194000000000000057e+02,3.488257856929131862e+01,5.024677414700146727e+00
1.194500000000000028e+02,3.480698407859219401e+01,4.993202018587917124e+00
1.195000000000000000e+02,3.472720411411850705e+01,4.959583708377938827e+00
1.195499999999999972e+02,3.464360228514404838e+01,4.923872501273634406e+00
1.195999999999999943e+02,3.455652145599474778e+01,4.886125008194374786e+00
1.196500000000000057e+02,3.446628254798593360e+01,4.846404124337016839e+00
1.197000000000000028e+02,3.437318357571128047e+01,4.804778659110386485e+00
1.197500000000000000e+02,3.427749891433803953e+01,4.761322911519469514e+00
1.197999999999999972e+02,3.417947879202423422e+01,4.716116197943809318e+00
1.198499999999999943e+02,3.407934899933630390e+01,4.669242339938722175e+00
1.199000000000000057e+02,3.397731080560701145e+01,4.620789120175539111e+00
1.199500000000000028e+02,3.387354107056913222e+01,4.570847714925879046e+00
1.200000000000000000e+02,3.376819253830552725e+01,4.519512111580585412e+00
1.200499999999999972e+02,3.366139429957591034e+01,4.466878519589003282e+00
1.200999999999999943e+02,3.355325240790116936e+01,4.413044782921599740e+00
1.201500000000000057e+02,3.344385063437272265e+01,4.358109801717605869e+00
1.202000000000000028e+02,3.333325134600785589e+01,4.302172970197451818e+00
1.202500000000000000e+02,3.322149649254446047e+01,4.245333637231757606e+00
1.202999999999999972e+02,3.310860868683593594e+01,4.187690595182098185e+00
1.203499999999999943e+02,3.299459236445823507e+01,4.129341601796073569e+00
1.204000000000000057e+02,3.287943500871295299e+01,4.070382939074830730e+00
1.204500000000000028e+02,3.276310842791721711e+01,4.010909012160299270e+00
1.205000000000000000e+02,3.264557007263842081e+01,3.951011990435041810e+00
1.205499999999999972e+02,3.252676438138451687e+01,3.890781492206155434e+00
1.205999999999999943e+02,3.240662414413169756e+01,3.830304313578042574e+00
1.206500000000000057e+02,3.228507187397267586e+01,3.769664201413373661e+00
1.207000000000000028e+02,3.216202117806109584e+01,3.708941669651321327e+00
1.207500000000000000e+02,3.203737811991395290e+01,3.648213857702384821e+00
1.207999999999999972e+02,3.191104256598310229e+01,3.587554429168279491e+00
1.208499999999999943e+02,3.178290951022505340e+01,3.527033508753910418e+00
1.209000000000000057e+02,3.165287037116898006e+01,3.466717654931734671e+00
1.209500000000000028e+02,3.152081425670070303e+01,3.406669865693616295e+00
1.210000000000000000e+02,3.138662919244165650e+01,3.346949614568875297e+00
1.210499999999999972e+02,3.125020331021417874e+01,3.287612913998685826e+00
1.210999999999999943e+02,3.111142599362601047e+01,3.228712403124637476e+00
1.211500000000000057e+02,3.097018897829794071e+01,3.170297457065609059e+00
1.212000000000000028e+02,3.082638740469914751e+01,3.112414314820981964e+00
1.212500000000000000e+02,3.067992082192502323e+01,3.055106223030636059e+00
1.212999999999999972e+02,3.053069414108909285e+01,2.998413592947468675e+00
1.213499999999999943e+02,3.037861853728063366e+01,2.942374168120796885e+00
1.214000000000000057e+02,3.022361229927917492e+01,2.887023200449255977e+00
1.214500000000000028e+02,3.006560162641213907e+01,2.832393632427730346e+00
1.215000000000000000e+02,2.990452137211296701e+01,2.778516283587869395e+00
1.215499999999999972e+02,2.974031573386511695e+01,2.725420039302473008e+00
1.215999999999999943e+02,2.957293888932316861e+01,2.673132040295805645e+00
1.216500000000000057e+02,2.940235557848884440e+01,2.621677871364711976e+00
1.217000000000000028e+02,2.922854163187946597e+01,2.571081747974193199e+00
1.217500000000000000e+02,2.905148444467830515e+01,2.521366699535487310e+00
1.217999999999999972e+02,2.887118339689079960e+01,2.472554748315078044e+00
1.218499999999999943e+02,2.868765021955780270e+01,2.424667083046721405e+00
1.219000000000000057e+02,2.850090930710254256e+01,2.377724226434898114e+00
1.219500000000000028e+02,2.831099797590066913e+01,2.331746195841660541e+00
1.220000000000000000e+02,2.811796666918754894e+01,2.286752656542050399e+00
1.220499999999999972e+02,2.792187910843266252e+01,2.242763067016225076e+00
1.220999999999999943e+02,2.772281239133566544e+01,2.199796815820668439e+00
1.221500000000000057e+02,2.752085703662929461e+01,2.157873349644551908e+00
1.222000000000000028e+02,2.731611697590866328e+01,2.117012292216363445e+00
1.222500000000000000e+02,2.710870949275106057e+01,2.077233553773731867e+00
1.222999999999999972e+02,2.689876510944772647e+01,2.038557430857145913e+00
1.223499999999999943e+02,2.668642742172889015e+01,2.001004696225061164e+00
1.224000000000000057e+02,2.647185288194472363e+01,1.964596678725511580e+00
1.224500000000000028e+02,2.625521053124839455e+01,1.929355332991928629e+00
1.225000000000000000e+02,2.603668168142951700e+01,1.895303298860094632e+00
1.225499999999999972e+02,2.581645954715991920e+01,1.862463950434814830e+00
1.225999999999999943e+02,2.559474882953551855e+01,1.830861434760496342e+00
1.226500000000000057e+02,2.537176525193728693e+01,1.800520700080572745e+00
1.227000000000000028e+02,2.514773504938292348e+01,1.771467513697586593e+00
1.227500000000000000e+02,2.492289441269884520e+01,1.743728469476389042e+00
1.227999999999999972e+02,2.469748888901328598e+01,1.717330985062951232e+00
1.228499999999999943e+02,2.447177274025176530e+01,1.692303288923275195e+00
1.229000000000000057e+02,2.424600826149997701e+01,1.668674397340456084e+00
1.229500000000000028e+02,2.402046506129659420e+01,1.646474081542771417e+00
1.230000000000000000e+02,2.379541930611460288e+01,1.625732825172266915e+00
1.230499999999999972e+02,2.357115293149351487e+01,1.606481772341080694e+00
1.230999999999999943e+02,2.334795282248545689e+01,1.588752666561519922e+00
1.231500000000000057e+02,2.312610996628329474e+01,1.572577780875852538e+00
1.232000000000000028e+02,2.290591858009385362e+01,1.557989839552408329e+00
1.232500000000000000e+02,2.268767521751636451e+01,1.545021931754827271e+00
1.232999999999999972e+02,2.247167785686521668e+01,1.533707417631594794e+00
1.233499999999999943e+02,2.225822497505675557e+01,1.524079827312867730e+00
1.234000000000000057e+02,2.204761461083214513e+01,1.516172753339898538e+00
1.234500000000000028e+02,2.184014342123980512e+01,1.510019737088232894e+00
1.235000000000000000e+02,2.163610573541816962e+01,1.505654149782159390e+00
1.235499999999999972e+02,2.143579260983094770e+01,1.503109068727505049e+00
1.235999999999999943e+02,2.123949088918006822e+01,1.502417149420173459e+00
1.236500000000000057e+02,2.104748227728077126e+01,1.503610494212297422e+00
1.237000000000000028e+02,2.086004242220558780e+01,1.506720518238867212e+00
1.237500000000000000e+02,2.067744002000210202e+01,1.511777813324938879e+00
1.237999999999999972e+02,2.049993594125514917e+01,1.518812010605455454e+00
1.238499999999999943e+02,2.032778238469450827e+01,1.527851642597470860e+00
1.239000000000000057e+02,2.016122206195237609e+01,1.538924005466254075e+00
1.239500000000000028e+02,2.000048741743986369e+01,1.552055022225092840e+00
1.240000000000000000e+02,1.984579988714441612e+01,1.567269107600325562e+00
1.240499999999999972e+02,1.969736919995502333e+01,1.584589035279666991e+00
1.240999999999999943e+02,1.955539272488748992e+01,1.604035808245120265e+00
1.241500000000000057e+02,1.942005486732515251e+01,1.625628532868239384e+00
1.242000000000000028e+02,1.929152651709968680e+01,1.649384297418737377e+00
1.242500000000000000e+02,1.916996455092450802e+01,1.675318055605127254e+00
1.242999999999999972e+02,1.905551139135472027e+01,1.703442515731446560e+00
1.243499999999999943e+02,1.894829462409267862e+01,1.733768036014244895e+00
1.244000000000000057e+02,1.884842667508183922e+01,1.766302526561444708e+00
1.244500000000000028e+02,1.875600454845069009e+01,1.801051358470635355e+00
1.245000000000000000e+02,1.867110962596814261e+01,1.838017280455590097e+00
1.245499999999999972e+02,1.859380752827691197e+01,1.877200343361410617e+00
1.245999999999999943e+02,1.852414803777002561e+01,1.918597832877659837e+00
1.246500000000000057e+02,1.846216508257880662e+01,1.962204210707991781e+00
1.247000000000000028e+02,1.840787678075284362e+01,2.008011064401509227e+00
1.247500000000000000e+02,1.836128554333680540e+01,2.056007066001500849e+00
1.247999999999999972e+02,1.832237823468519622e+01,2.106177939613375294e+00
1.248499999999999943e+02,1.829112638801827018e+01,2.158506437945001188e+00
1.249000000000000057e+02,1.826748647389890934e+01,2.212972327822662955e+00
1.249500000000000028e+02,1.825140021901995624e+01,2.269552384638358511e+00
1.250000000000000000e+02,1.824279497242282488e+01,2.328220395638838980e+00
1.250499999999999972e+02,1.824158411603517749e+01,2.388947171922765733e+00
1.250999999999999943e+02,1.824766751620989425e+01,2.451700568972317917e+00
1.251500000000000057e+02,1.826093201277788580e+01,2.516445515506144037e+00
1.252000000000000028e+02,1.828125194199131087e+01,2.583144050405983272e+00
1.252500000000000000e+02,1.830848968963021406e+01,2.651755367436155808e+00
1.252999999999999972e+02,1.834249627047918807e+01,2.722235867446279656e+00
1.253499999999999943e+02,1.838311193034638791e+01,2.794539217719632429e+00
1.254000000000000057e+02,1.843016676679424393e+01,2.868616418108538291e+00
1.254500000000000028e+02,1.848348136478329451e+01,2.944415873576057052e+00
1.255000000000000000e+02,1.854286744348947735e+01,3.021883472747003641e+00
1.255499999999999972e+02,1.860812851064384432e+01,3.100962672057688607e+00
1.255999999999999943e+02,1.867906052085488966e+01,3.181594585081799487e+00
